* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: 13:08:36 14/06/2025
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: A plus B
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.885 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
87.240616	101.9069	-75.0109
87.872803	101.9478	-75.9629
88.50956	101.9708	-77.0034
89.15094	102.005	-77.92
89.796967	102.0383	-78.8077
90.44767	102.0583	-79.7697
91.103088	102.0949	-80.6155
91.76326	102.1357	-81.4584
92.428215	102.1627	-82.4091
93.097992	102.2047	-83.2713
93.772614	102.246	-84.148
94.452133	102.271	-85.1392
95.136566	102.3074	-86.04
95.825966	102.3421	-86.9457
96.520363	102.373	-87.8493
97.219788	102.383	-88.8409
97.924286	102.4072	-89.7068
98.633881	102.4285	-90.538
99.348625	102.4345	-91.4308
100.068542	102.4601	-92.1853
100.793686	102.4879	-92.9073
101.524078	102.5029	-93.7093
102.259766	102.5399	-94.4104
103.000778	102.5792	-95.1291
103.747162	102.6012	-95.9735
104.498962	102.6387	-96.7383
105.256203	102.6735	-97.5068
106.018929	102.6865	-98.3596
106.787186	102.7175	-99.0866
107.561012	102.7507	-99.7877
108.340446	102.7697	-100.5722
109.125526	102.8111	-101.258
109.91629	102.8588	-101.9595
110.712791	102.9087	-102.6891
111.51506	102.9427	-103.5525
112.323143	102.9949	-104.3581
113.137085	103.0453	-105.2024
113.956924	103.0713	-106.1755
114.7827	103.1109	-107.072
115.614464	103.1438	-107.974
116.452255	103.1488	-108.9618
117.296112	103.168	-109.8317
118.146095	103.1813	-110.6709
119.002228	103.1713	-111.567
119.864563	103.1819	-112.3275
120.733154	103.1928	-113.0505
121.60804	103.1868	-113.8393
122.489258	103.2058	-114.5208
123.376869	103.2291	-115.2037
124.270905	103.2331	-115.9913
125.171425	103.2596	-116.7027
126.078468	103.2855	-117.4247
126.992081	103.3095	-118.1477
127.912323	103.3105	-118.9542
128.839233	103.3327	-119.6639
129.772842	103.3562	-120.3713
130.713242	103.3572	-121.1675
131.660431	103.3809	-121.8775
132.614502	103.4059	-122.5943
133.575485	103.4079	-123.4127
134.543427	103.4321	-124.1688
135.518387	103.4515	-124.952
136.500412	103.4395	-125.8347
137.489548	103.4411	-126.619
138.485855	103.433	-127.3482
139.48938	103.395	-128.0637
140.500168	103.3851	-128.5865
141.518295	103.3884	-129.0303
142.543793	103.3814	-129.5354
143.576721	103.4129	-129.9955
144.617142	103.4527	-130.5197
145.6651	103.4926	-131.1067
146.720642	103.5056	-131.8127
147.783844	103.5388	-132.4555
148.854752	103.5703	-133.0915
149.933411	103.5773	-133.7922
151.019897	103.6118	-134.4191
