* Measurement data measured by REW V5.20.13
* Source: /projects/speakers/epique and morel/port and woofer nearfield diffraction.txt
* Format: Comma/Tab/Space delimited data
* Dated: Feb 21, 2023 8:24:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /projects/speakers/epique and morel/port and woofer nearfield diffraction.txt Format: Comma/Tab/Space delimited data 957 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: port and woofer nearfield
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
83.541901	92.217	-100.3643
84.147285	92.233	-100.9322
84.757050	92.251	-101.5390
85.371231	92.271	-102.1751
85.989868	92.289	-102.8491
86.612984	92.301	-103.5631
87.240616	92.309	-104.2876
87.872803	92.310	-105.0067
88.509560	92.303	-105.7029
89.150940	92.295	-106.3479
89.796967	92.289	-106.9526
90.447670	92.284	-107.5412
91.103088	92.286	-108.1166
91.763260	92.292	-108.6949
92.428215	92.298	-109.2899
93.097992	92.301	-109.9095
93.772614	92.306	-110.5464
94.452133	92.310	-111.2183
95.136566	92.307	-111.9370
95.825966	92.295	-112.6745
96.520363	92.270	-113.3948
97.219788	92.230	-114.0450
97.924286	92.188	-114.5659
98.633881	92.152	-114.9599
99.348625	92.132	-115.2797
100.068542	92.135	-115.5915
100.793686	92.155	-115.9789
101.524078	92.182	-116.4984
102.259766	92.206	-117.1452
103.000778	92.215	-117.8869
103.747162	92.201	-118.6590
104.498962	92.171	-119.3727
105.256203	92.130	-119.9793
106.018929	92.085	-120.4734
106.787186	92.041	-120.8810
107.561012	92.009	-121.2299
108.340446	91.985	-121.5615
109.125526	91.965	-121.9019
109.916290	91.950	-122.2428
110.712791	91.937	-122.5776
111.515060	91.923	-122.8982
112.323143	91.915	-123.1920
113.137085	91.914	-123.4746
113.956924	91.917	-123.7698
114.782700	91.929	-124.0860
115.614464	91.943	-124.4373
116.452255	91.957	-124.8294
117.296112	91.973	-125.2514
118.146095	91.987	-125.7029
119.002228	91.996	-126.1789
119.864563	92.004	-126.6613
120.733154	92.011	-127.1381
121.608040	92.012	-127.6018
122.489258	92.008	-128.0500
123.376869	92.007	-128.4797
124.270905	92.008	-128.9051
125.171425	92.008	-129.3372
126.078468	92.011	-129.7703
126.992081	92.014	-130.2054
127.912323	92.016	-130.6472
128.839233	92.021	-131.0946
129.772842	92.027	-131.5525
130.713242	92.031	-132.0224
131.660431	92.037	-132.4989
132.614502	92.044	-132.9897
133.575485	92.049	-133.5078
134.543427	92.057	-134.0606
135.518387	92.061	-134.6572
136.500412	92.056	-135.2984
137.489548	92.046	-135.9678
138.485855	92.024	-136.6402
139.489380	91.987	-137.2763
140.500168	91.933	-137.8286
141.518295	91.876	-138.2579
142.543793	91.823	-138.5677
143.576721	91.780	-138.8061
144.617142	91.753	-139.0339
145.665100	91.732	-139.2858
146.720642	91.710	-139.5542
147.783844	91.693	-139.8155
148.854752	91.678	-140.0674
149.933411	91.665	-140.3263
151.019897	91.657	-140.5994
152.114243	91.649	-140.8728
153.216522	91.640	-141.1283
154.326797	91.641	-141.3709
155.445114	91.651	-141.6346
156.571533	91.667	-141.9644
157.706116	91.686	-142.3861
158.848923	91.699	-142.8824
160.000000	91.698	-143.4014
161.159424	91.683	-143.8900
162.327255	91.667	-144.3321
163.503540	91.655	-144.7537
164.688354	91.643	-145.2018
165.881760	91.631	-145.7071
167.083801	91.606	-146.2448
168.294571	91.559	-146.7407
169.514099	91.500	-147.1145
170.742462	91.437	-147.3218
171.979736	91.383	-147.3849
