* Measurement data measured by REW V5.20.13
* Source: U18dB [plughw:2,0], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Feb 21, 2023 1:23:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Woofer Far Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
82.940880	89.588	-112.1666
83.541901	89.636	-112.5050
84.147285	89.683	-112.8443
84.757050	89.729	-113.1844
85.371231	89.776	-113.5253
85.989868	89.823	-113.8669
86.612984	89.869	-114.2094
87.240616	89.915	-114.5527
87.872803	89.961	-114.8969
88.509560	90.007	-115.2418
89.150940	90.052	-115.5875
89.796967	90.098	-115.9341
90.447670	90.143	-116.2815
91.103088	90.188	-116.6297
91.763260	90.232	-116.9788
92.428215	90.276	-117.3286
93.097992	90.320	-117.6793
93.772614	90.364	-118.0308
94.452133	90.407	-118.3831
95.136566	90.451	-118.7363
95.825966	90.493	-119.0903
96.520363	90.536	-119.4451
97.219788	90.578	-119.8007
97.924286	90.620	-120.1572
98.633881	90.662	-120.5144
99.348625	90.703	-120.8725
100.068542	90.744	-121.2314
100.793686	90.785	-121.5910
101.524078	90.826	-121.9515
102.259766	90.866	-122.3128
103.000778	90.906	-122.6748
103.747162	90.945	-123.0377
104.498962	90.984	-123.4013
105.256203	91.023	-123.7656
106.018929	91.062	-124.1308
106.787186	91.100	-124.4966
107.561012	91.137	-124.8632
108.340446	91.175	-125.2305
109.125526	91.212	-125.5986
109.916290	91.248	-125.9673
110.712791	91.284	-126.3368
111.515060	91.320	-126.7069
112.323143	91.355	-127.0777
113.137085	91.389	-127.4491
113.956924	91.423	-127.8211
114.782700	91.457	-128.1938
115.614464	91.490	-128.5670
116.452255	91.522	-128.9409
117.296112	91.554	-129.3153
118.146095	91.586	-129.6902
119.002228	91.617	-130.0656
119.864563	91.647	-130.4416
120.733154	91.677	-130.8180
121.608040	91.706	-131.1948
122.489258	91.735	-131.5720
123.376869	91.763	-131.9496
124.270905	91.790	-132.3276
125.171425	91.817	-132.7059
126.078468	91.843	-133.0844
126.992081	91.869	-133.4633
127.912323	91.894	-133.8423
128.839233	91.919	-134.2216
129.772842	91.943	-134.6009
130.713242	91.967	-134.9804
131.660431	91.990	-135.3599
132.614502	92.012	-135.7395
133.575485	92.034	-136.1190
134.543427	92.056	-136.4984
135.518387	92.077	-136.8777
136.500412	92.097	-137.2568
137.489548	92.117	-137.6357
138.485855	92.136	-138.0143
139.489380	92.155	-138.3926
140.500168	92.173	-138.7704
141.518295	92.190	-139.1478
142.543793	92.206	-139.5246
143.576721	92.222	-139.9008
144.617142	92.238	-140.2763
145.665100	92.252	-140.6511
146.720642	92.266	-141.0251
147.783844	92.279	-141.3981
148.854752	92.292	-141.7702
149.933411	92.303	-142.1412
151.019897	92.314	-142.5110
152.114243	92.324	-142.8795
153.216522	92.334	-143.2467
154.326797	92.342	-143.6125
155.445114	92.350	-143.9767
156.571533	92.357	-144.3393
157.706116	92.364	-144.7001
158.848923	92.369	-145.0590
160.000000	92.373	-145.4159
161.159424	92.377	-145.7707
162.327255	92.380	-146.1233
163.503540	92.382	-146.4734
164.688354	92.382	-146.8211
165.881760	92.382	-147.1661
167.083801	92.381	-147.5084
168.294571	92.379	-147.8476
169.514099	92.377	-148.1839
170.742462	92.373	-148.5168
171.979736	92.368	-148.8464
173.225967	92.363	-149.1724
174.481232	92.357	-149.4946
175.745605	92.350	-149.8129
177.019119	92.343	-150.1271
178.301880	92.334	-150.4370
179.593933	92.325	-150.7425
180.895340	92.315	-151.0432
182.206177	92.305	-151.3390
183.526520	92.294	-151.6298
184.856430	92.281	-151.9152
186.195984	92.269	-152.1952
187.545227	92.255	-152.4693
188.904266	92.241	-152.7376
190.273132	92.226	-152.9996
191.651932	92.211	-153.2551
193.040726	92.194	-153.5040
194.439575	92.177	-153.7459
195.848572	92.160	-153.9807
197.267761	92.141	-154.2080
198.697250	92.122	-154.4277
200.137085	92.102	-154.6394
201.587372	92.082	-154.8430
203.048157	92.061	-155.0380
204.519531	92.039	-155.2244
206.001556	92.017	-155.4017
207.494324	91.994	-155.5699
208.997925	91.971	-155.7285
210.512405	91.948	-155.8775
212.037857	91.924	-156.0164
213.574371	91.899	-156.1451
215.122025	91.874	-156.2634
216.680893	91.849	-156.3709
218.251053	91.823	-156.4675
219.832581	91.797	-156.5531
221.425583	91.770	-156.6273
223.030121	91.744	-156.6901
224.646286	91.717	-156.7411
226.274170	91.691	-156.7805
227.913849	91.664	-156.8079
229.565399	91.638	-156.8233
231.228928	91.612	-156.8267
232.904510	91.586	-156.8180
234.592224	91.561	-156.7972
236.292191	91.537	-156.7643
238.004456	91.513	-156.7194
239.729126	91.490	-156.6626
241.466309	91.468	-156.5939
243.216080	91.446	-156.5138
244.978516	91.426	-156.4222
246.753738	91.407	-156.3195
248.541809	91.390	-156.2061
250.342850	91.374	-156.0822
252.156937	91.359	-155.9484
253.984161	91.346	-155.8051
255.824646	91.335	-155.6528
257.678467	91.325	-155.4921
259.545685	91.317	-155.3236
261.426483	91.312	-155.1480
263.320862	91.308	-154.9661
265.229004	91.307	-154.7785
267.150970	91.308	-154.5861
269.086853	91.311	-154.3898
271.036774	91.316	-154.1904
273.000824	91.324	-153.9889
274.979095	91.335	-153.7862
276.971710	91.348	-153.5833
278.978760	91.363	-153.3812
281.000336	91.381	-153.1809
283.036591	91.401	-152.9834
285.087585	91.424	-152.7897
287.153442	91.448	-152.6008
289.234283	91.475	-152.4177
291.330200	91.504	-152.2414
293.441284	91.535	-152.0728
295.567688	91.568	-151.9128
297.709503	91.602	-151.7623
299.866821	91.639	-151.6223
302.039795	91.677	-151.4933
304.228485	91.716	-151.3763
306.433044	91.756	-151.2720
308.653595	91.798	-151.1808
310.890228	91.841	-151.1035
313.143066	91.885	-151.0405
315.412231	91.929	-150.9923
317.697845	91.974	-150.9593
320.000000	92.019	-150.9418
322.318848	92.065	-150.9401
324.654510	92.111	-150.9544
327.007080	92.157	-150.9847
329.376709	92.203	-151.0312
331.763519	92.249	-151.0938
334.167603	92.294	-151.1724
336.589142	92.338	-151.2669
339.028198	92.382	-151.3771
341.484924	92.425	-151.5027
343.959473	92.467	-151.6435
346.451935	92.507	-151.7989
348.962463	92.546	-151.9686
351.491211	92.583	-152.1521
354.038239	92.618	-152.3487
356.603760	92.652	-152.5579
359.187866	92.683	-152.7789
361.790680	92.713	-153.0111
364.412354	92.740	-153.2537
367.053040	92.764	-153.5057
369.712860	92.786	-153.7664
372.391968	92.805	-154.0346
375.090454	92.821	-154.3095
377.808533	92.834	-154.5899
380.546265	92.844	-154.8746
383.303864	92.851	-155.1626
386.081451	92.855	-155.4524
388.879150	92.855	-155.7427
391.697144	92.851	-156.0322
394.535522	92.844	-156.3194
397.394501	92.832	-156.6026
400.274170	92.817	-156.8804
403.174744	92.798	-157.1509
406.096313	92.775	-157.4124
409.039062	92.748	-157.6629
412.003113	92.716	-157.9005
414.988647	92.681	-158.1232
417.995850	92.643	-158.3288
421.024811	92.600	-158.5151
424.075714	92.554	-158.6797
427.148743	92.504	-158.8203
430.244049	92.451	-158.9343
433.361786	92.395	-159.0192
436.502106	92.335	-159.0724
439.665161	92.273	-159.0912
442.851166	92.208	-159.0729
446.060242	92.141	-159.0149
449.292572	92.072	-158.9143
452.548340	92.001	-158.7688
455.827698	91.930	-158.5757
459.130798	91.858	-158.3327
462.457855	91.786	-158.0377
465.809021	91.715	-157.6888
469.184448	91.645	-157.2847
472.584381	91.578	-156.8242
476.008911	91.514	-156.3070
479.458252	91.455	-155.7331
482.932617	91.400	-155.1033
486.432159	91.352	-154.4195
489.957031	91.311	-153.6840
493.507477	91.278	-152.9002
497.083618	91.254	-152.0727
500.685699	91.241	-151.2067
504.313873	91.238	-150.3084
507.968323	91.247	-149.3850
511.649292	91.268	-148.4443
515.356934	91.302	-147.4948
519.091370	91.349	-146.5453
522.852966	91.409	-145.6050
526.641724	91.482	-144.6831
530.458008	91.567	-143.7884
534.301941	91.665	-142.9297
538.173706	91.773	-142.1150
542.073547	91.893	-141.3516
546.001648	92.021	-140.6461
549.958191	92.159	-140.0040
553.943420	92.303	-139.4299
557.957520	92.454	-138.9277
562.000671	92.610	-138.4998
566.073181	92.770	-138.1483
570.175171	92.933	-137.8739
574.306885	93.097	-137.6768
578.468567	93.262	-137.5566
582.660400	93.427	-137.5121
586.882568	93.590	-137.5416
591.135376	93.752	-137.6431
595.419006	93.911	-137.8142
599.733643	94.066	-138.0520
604.079590	94.217	-138.3537
608.456970	94.363	-138.7161
612.866089	94.504	-139.1360
617.307190	94.639	-139.6100
621.780457	94.768	-140.1345
626.286133	94.890	-140.7061
630.824463	95.004	-141.3213
635.395691	95.111	-141.9764
640.000000	95.211	-142.6678
644.637695	95.302	-143.3919
649.309021	95.385	-144.1450
654.014160	95.459	-144.9232
658.753418	95.525	-145.7228
663.527039	95.582	-146.5400
668.335205	95.630	-147.3706
673.178284	95.668	-148.2108
678.056396	95.697	-149.0561
682.969849	95.716	-149.9023
687.918945	95.725	-150.7449
692.903870	95.725	-151.5790
697.924927	95.714	-152.3998
702.982422	95.693	-153.2019
708.076477	95.662	-153.9799
713.207520	95.620	-154.7279
718.375732	95.569	-155.4399
723.581360	95.508	-156.1093
728.824707	95.437	-156.7295
734.106079	95.357	-157.2931
739.425720	95.269	-157.7930
744.783936	95.172	-158.2212
750.180908	95.068	-158.5700
755.617065	94.958	-158.8316
761.092529	94.843	-158.9982
766.607727	94.723	-159.0624
772.162903	94.602	-159.0175
777.758301	94.481	-158.8576
783.394287	94.361	-158.5786
789.071045	94.247	-158.1781
794.789001	94.139	-157.6562
800.548340	94.042	-157.0159
806.349487	93.958	-156.2636
812.192627	93.890	-155.4097
818.078125	93.841	-154.4681
824.006226	93.814	-153.4569
829.977295	93.811	-152.3974
835.991699	93.833	-151.3138
842.049622	93.881	-150.2320
848.151428	93.954	-149.1788
854.297485	94.052	-148.1802
860.488098	94.174	-147.2609
866.723572	94.316	-146.4428
873.004211	94.476	-145.7444
879.330322	94.650	-145.1804
885.702332	94.836	-144.7614
892.120483	95.029	-144.4940
898.585144	95.227	-144.3813
905.096680	95.427	-144.4230
911.655396	95.625	-144.6161
918.261597	95.819	-144.9552
924.915710	96.006	-145.4334
931.618042	96.185	-146.0422
938.368896	96.352	-146.7723
945.168762	96.508	-147.6137
952.017822	96.651	-148.5558
958.916504	96.778	-149.5879
965.865234	96.890	-150.6990
972.864319	96.985	-151.8779
979.914062	97.062	-153.1134
987.014954	97.122	-154.3941
994.167236	97.162	-155.7086
1001.371399	97.184	-157.0453
1008.627747	97.187	-158.3921
1015.936646	97.170	-159.7370
1023.298584	97.133	-161.0675
1030.713867	97.077	-162.3706
1038.182739	97.002	-163.6330
1045.705933	96.908	-164.8411
1053.283447	96.796	-165.9807
1060.916016	96.666	-167.0376
1068.603882	96.520	-167.9972
1076.347412	96.359	-168.8452
1084.147095	96.185	-169.5678
1092.003296	96.000	-170.1521
1099.916382	95.806	-170.5870
1107.886841	95.607	-170.8637
1115.915039	95.407	-170.9768
1124.001343	95.208	-170.9249
1132.146362	95.016	-170.7119
1140.350342	94.834	-170.3472
1148.613770	94.666	-169.8463
1156.937134	94.516	-169.2306
1165.320801	94.387	-168.5269
1173.765137	94.281	-167.7655
1182.270752	94.197	-166.9791
1190.838013	94.137	-166.2001
1199.467285	94.097	-165.4590
1208.159180	94.075	-164.7817
1216.913940	94.068	-164.1889
1225.732178	94.070	-163.6941
1234.614380	94.078	-163.3040
1243.560913	94.087	-163.0182
1252.572266	94.092	-162.8299
1261.648926	94.092	-162.7267
1270.791382	94.081	-162.6914
1280.000000	94.058	-162.7032
1289.275391	94.021	-162.7383
1298.618042	93.969	-162.7715
1308.028320	93.902	-162.7763
1317.506836	93.821	-162.7263
1327.054077	93.726	-162.5963
1336.670410	93.622	-162.3627
1346.356567	93.509	-162.0055
1356.112793	93.393	-161.5087
1365.939697	93.278	-160.8622
1375.837891	93.168	-160.0625
1385.807739	93.069	-159.1138
1395.849854	92.987	-158.0282
1405.964844	92.925	-156.8253
1416.152954	92.888	-155.5315
1426.415039	92.878	-154.1783
1436.751465	92.897	-152.7997
1447.162720	92.945	-151.4300
1457.649414	93.022	-150.1018
1468.212158	93.124	-148.8437
1478.851440	93.250	-147.6793
1489.567871	93.396	-146.6270
1500.361816	93.560	-145.7002
1511.234131	93.737	-144.9079
1522.185059	93.926	-144.2565
1533.215454	94.123	-143.7499
1544.325806	94.327	-143.3915
1555.516602	94.535	-143.1844
1566.788574	94.746	-143.1316
1578.142090	94.956	-143.2365
1589.578003	95.164	-143.5020
